"Sektor","Barkod","Urun Adi","Marka","Kategori","Fiyat (TL)","KDV","Urun Gorseli"
"Temel Gıda","8690504018087","Ülker Çikolatalı Gofret 36g","Ülker","Atıştırmalık","15.50","10","https://images.openfoodfacts.org/images/products/869/050/401/8087/front_tr.11.400.jpg"
"Gıda Dışı Ürünler","4007817104118","Faber-Castell Kurşun Kalem 12li","Faber-Castell","Kırtasiye","45.00","20","bilinmiyor"
"Gıda Dışı Ürünler","8690637000010","Ariel Sıvı Deterjan 3L","Ariel","Temizlik Ürünü","210.00","20","bilinmiyor"
"Kişisel Bakım ve Kozmetik","4005808801015","Nivea Nemlendirici Krem 150ml","Nivea","Sabun ve Kozmetik","120.00","20","https://images.openfoodfacts.org/images/products/400/580/880/1015/front_en.16.400.jpg"
"Gıda Dışı Ürünler","3165140000017","Bosch Matkap Ucu Seti 10lu","Bosch","Hırdavat","185.00","20","bilinmiyor"
"İçecek","5449000000996","Coca-Cola","Coca-Cola","Gazlı İçecek","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/544/900/000/0996/front_en.1107.400.jpg"
"İçecek","7707211630486","Cafe Buendia","Cafe-Buendia","Kahve","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/770/721/163/0486/front_en.10.400.jpg"
"İçecek","8691216090446","Haribo Happy Cola","Haribo","Gazlı İçecek","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/121/609/0446/front_en.25.400.jpg"
"Kahvaltılık","4008400401621","Nutella Joshua","Nutella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/400/840/040/1621/front_en.302.400.jpg"
"İçecek","5711953072024","Frappuccino Mocha","Starbucks","Kahve","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/571/195/307/2024/front_en.8.400.jpg"
"Süt ve Süt Ürünleri","8699118004301","Yogurt","Birşah","Yoğurt","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/911/800/4301/front_ru.3.400.jpg"
"Atıştırmalık ve Şekerleme","4008400290126","Kinder Pingui 30","Kinder","Çikolata","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/400/840/029/0126/front_en.200.400.jpg"
"Kahvaltılık","8000500082379","Nutella","Nutella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/800/050/008/2379/front_en.167.400.jpg"
"Atıştırmalık ve Şekerleme","7622300498429","Strawberry Chocolate","Milka","Çikolata","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/762/230/049/8429/front_en.51.400.jpg"
"İçecek","8692886310711","Altınkılıç Kefir Sade","Altınkılıç","Kefir","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/288/631/0711/front_tr.4.400.jpg"
"Atıştırmalık ve Şekerleme","4014400400007","Toffife","Storck","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","80176800","Nutella","Nutella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","59032823","Nutella 630 G","Nutella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/000/005/903/2823/front_fr.293.400.jpg"
"İçecek","8690793010151","Doğal Kaynak Suyu","Erikli","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000054227","Coca-Cola Original Taste","Coca Cola Life","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077000538","Dost Süt","Dost","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8695077020833","Kakao","Daphne","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4000177408100","Mystic Dragon","Capri-Sun","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8680908020014","İndomie Körili Noodle","Indomie","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8680181123013","Torku Keçiboynuzlu Süt","Torku","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504020509","Çikolatalı Gofret","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Gıda Dışı Ürünler","8692111568979","Çocuk Maskesi","Tel-Mask","Diğer","bilinmiyor","bilinmiyor","bilinmiyor"
"Gıda Dışı Ürünler","8697441340455","Resim Defteri","Starstories","Kırtasiye","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697436558391","Dried Figs","Ciloglu","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8695077079145","Kremli Sandviç Bisküvi","","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8695077067302","Mini Mini","","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504082651","Saklıköy","Ülker","Bisküvi","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/050/408/2651/front_tr.15.400.jpg"
"Meyve, Sebze ve Kuruyemiş","8697742720826","Meyve Mix","Dovido","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8698980920016","Water Quellwasser","","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690504271680","Special K Classic","Kellogg's","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","87157260","Domates Ketçabı","Heinz","Ketçap","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504026204","Tablet Çikolata Bitter","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4792242857431","Earl Grey Whole Leaf Tea","Ceylon-Tea-Shop","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8699141057053","Biscolata Mood","Amada","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690635300815","Mayonez","Tat","Mayonez","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8681349030433","Avsar Zwarte Moerbei En Bes","","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","3158697781737","Moutarde De Dijon - French Mustard - Petits Gourmets","Petits-Gourmets","Hardal","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8696554060373","Oat Bran","","Yulaf","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526095226","Hoşbeş Fındık Kremalı Gofret","Eti","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690526094090","ETI FORM","Eti","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690565025604","Pınar Krem Peynir 100","Pınar","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690515514066","Jacobs Monarch Gold Instant Coffee","Jacobs","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690804322891","Manti Turkish Pasta 12x400g","Baktat","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526035444","Bidolu 5 Parça","Eti","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8699118022701","Findux Bitter Çikolatalı Fındık Kreması","","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690524052122","Chewing-Gum","Falim","Sakız","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504059844","Bar Cake Çikolatalı Kek","Alpella","Çikolata","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/050/405/9844/front_en.12.400.jpg"
"İçecek","8697462731959","Ayran","Ozgullu","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690998117136","Balparmak Flowerhoney Squeeze","Balparmak","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504007807","Çokoprens","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","7591068","Pringles","Pringles","Cips","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971421858","Mis Süt","Mis","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504011606","Altinbasak","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504011699","Altınbaşak Light","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504059059","İkram","","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
